StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q4,Q5_4,Q5_5,Q5_6,Q6,Q7,Q8,Q9
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Are you a:,Do your students practice critical reading skills in your courses?,In what way is critical reading emphasized in your course(s)?,"Given a subject-related publication, what percentage of students in your courses would be able to critically read and understand: - most, if not all, of the important details","Given a subject-related publication, what percentage of students in your courses would be able to critically read and understand: - a moderate amount of the important details","Given a subject-related publication, what percentage of students in your courses would be able to critically read and understand: - none or almost none of the important details","What is the percentage of students in your course(s), with moderate critical reading skills, who might improve to an excellent critical reading skill level?","What is the percentage of students in your course(s), with poor critical reading skills, who might improve to at least a moderate critical reading skill level?",How likely do you think an emphasis on critical reading would significantly benefit Florida Poly students?,How you think an emphasis on critical reading would affect Florida Poly students’ employability or continued education post-graduation?
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5_4""}","{""ImportId"":""QID5_5""}","{""ImportId"":""QID5_6""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9_TEXT""}"
2021-11-22 11:17:58,2021-11-22 11:21:47,IP Address,71.44.212.98,100,228,True,2021-11-22 11:21:47,R_01W2QzQnEyw1Ydz,,,,,28.0702056884765625,-81.96410369873046875,anonymous,EN,Full Time Professor,Yes,Interpreting word problems,15,65,20,65%,5%,Very likely,"Critical reading will deepen understanding and improve communication skills drastically "
2021-11-22 11:17:50,2021-11-22 11:22:19,IP Address,71.44.212.98,100,268,True,2021-11-22 11:22:19,R_2tsC2UmIppNXFi8,,,,,28.0702056884765625,-81.96410369873046875,anonymous,EN,Full Time Professor,No,,20,40,20,15,10,Neither likely nor unlikely,I believe concepts and implementation are more important then cutting edge theoretical knowledge.  Critical reading is important but not as high of a priority as being able to use existing knowledge.
2021-11-22 11:18:46,2021-11-22 11:24:17,IP Address,72.185.101.156,100,331,True,2021-11-22 11:24:17,R_33yyz3JIA29APuF,,,,,28.2136993408203125,-82.68090057373046875,anonymous,EN,Part Time Professor,Yes,"Through the use of peer reviewed scholarly article analysis for rhetorical strategy ",10,80,10,70%,70%,Very likely,very likely
2021-11-22 11:22:49,2021-11-22 11:25:40,IP Address,71.44.212.98,100,170,True,2021-11-22 11:25:41,R_20OTfXR9EIQpyAZ,,,,,28.0702056884765625,-81.96410369873046875,anonymous,EN,Full Time Professor,No,,2,8,90,2,80,Somewhat likely,"It could indirectly help by getting students more involved in activities that require critical reading, like research and competitions."
2021-11-22 11:25:54,2021-11-22 11:34:11,IP Address,71.44.212.98,100,497,True,2021-11-22 11:34:12,R_3Orh06LZgmikbTu,,,,,28.0702056884765625,-81.96410369873046875,anonymous,EN,Full Time Professor,Yes,The assessments are designed to force students to think deeply about the subject material as opposed to replicating processes,2,20,78,90,60,Very likely,"It is absolutely essential that we emphasize critical thinking to our students. We claim to produce learners and engineers, not someone who can just do what they are told to do."
2021-11-22 11:33:13,2021-11-22 11:35:03,IP Address,71.44.212.98,100,110,True,2021-11-22 11:35:03,R_3ix0Vhwk0mXsb8A,,,,,28.0702056884765625,-81.96410369873046875,anonymous,EN,Full Time Professor,No,,5,30,65,30,15,Very likely,Would greatly improve future outcomes
2021-11-22 11:51:13,2021-11-22 11:53:36,IP Address,71.44.212.98,100,143,True,2021-11-22 11:53:37,R_1jcQlDRVTOwdiIH,,,,,28.0702056884765625,-81.96410369873046875,anonymous,EN,Full Time Professor,Yes,Literature reviews for semester project,60,30,10,10,5,Very likely,"The students would graduate with a broadened skillset, therefore increasing their employability"
2021-11-22 13:02:40,2021-11-22 13:05:00,IP Address,71.44.212.98,100,140,True,2021-11-22 13:05:01,R_1oAnXf26ucroRhQ,,,,,28.0702056884765625,-81.96410369873046875,anonymous,EN,Full Time Professor,No,,0,70,30,20%,5%,Somewhat likely,"I think it might help some, but it depends on how much the job values research."
2021-11-22 13:42:35,2021-11-22 13:45:04,IP Address,71.44.212.98,100,148,True,2021-11-22 13:45:04,R_1NlgDNJOC8XIAV1,,,,,28.0702056884765625,-81.96410369873046875,anonymous,EN,Full Time Professor,No,,0,0,0,none,none,Somewhat likely,"somewhat "
2021-11-22 13:54:58,2021-11-22 13:58:56,IP Address,71.44.212.98,100,238,True,2021-11-22 13:58:57,R_2sSTyuKPjrV3tUS,,,,,28.0702056884765625,-81.96410369873046875,anonymous,EN,Full Time Professor,No,,38,60,2,20,40,Very likely,significant
2021-11-22 14:44:25,2021-11-22 14:46:30,IP Address,50.58.144.24,100,124,True,2021-11-22 14:46:30,R_3NKvzOva5rSz1KN,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,Full Time Professor,No,,5,40,55,40,55,Somewhat likely,Improved critical thinking will improve all aspects of the students' academic life.
2021-11-22 15:08:46,2021-11-22 15:12:17,IP Address,71.44.212.98,100,211,True,2021-11-22 15:12:18,R_2DLE9FCdrlaPY9T,,,,,28.0702056884765625,-81.96410369873046875,anonymous,EN,Full Time Professor,Yes,"in a group project called term assignment where the group has to analyze three to five academic paper and compare them ",0,60,40,50,20,Very likely,"graduate studies require critical reading, even an a career in the industry require critical reading at some level"
2021-11-22 15:30:35,2021-11-22 15:32:46,IP Address,71.44.212.98,100,131,True,2021-11-22 15:32:46,R_3LYLZb4CC1MvCWa,,,,,28.0702056884765625,-81.96410369873046875,anonymous,EN,Full Time Professor,No,,0,10,90,5,10,Neither likely nor unlikely,Somewhat for the better
2021-11-23 10:24:54,2021-11-23 10:28:26,IP Address,71.44.212.98,100,211,True,2021-11-23 10:28:26,R_3qIMytkjifjJWOh,,,,,28.0702056884765625,-81.96410369873046875,anonymous,EN,Full Time Professor,No,,10,40,50,20,20,Neither likely nor unlikely,"significantly help continued education, slightly help employability"
2021-11-22 11:20:04,2021-11-22 11:20:24,IP Address,23.128.112.80,11,19,False,2021-11-29 11:20:25,R_2BwYkVW1zZO7Epq,,,,,,,anonymous,EN,,,,,,,,,,
2021-11-22 11:19:59,2021-11-22 11:20:46,IP Address,71.44.212.98,44,47,False,2021-11-29 11:20:49,R_1KeaF0VCE3IsybX,,,,,,,anonymous,EN,Full Time Professor,No,,,,,,,,
2021-11-22 11:29:05,2021-11-22 11:29:46,IP Address,71.44.212.98,33,40,False,2021-11-29 11:29:53,R_9B1QNSL8ulpIglb,,,,,,,anonymous,EN,Full Time Professor,Yes,,,,,,,,
2021-11-22 11:42:17,2021-11-22 11:42:39,IP Address,47.200.5.171,33,21,False,2021-11-29 11:42:43,R_2aXKq3meZhROJil,,,,,,,anonymous,EN,Full Time Professor,Yes,,,,,,,,
2021-11-29 11:38:09,2021-11-29 11:43:32,IP Address,71.44.212.98,100,323,True,2021-11-29 11:43:32,R_3e9rem6aZsV6nTe,,,,,28.0702056884765625,-81.96410369873046875,anonymous,EN,Part Time Professor,No,,20,30,50,15%,40%,Very unlikely,High impact on employability or continued education.
2021-11-29 11:48:31,2021-11-29 11:50:08,IP Address,71.44.212.98,100,97,True,2021-11-29 11:50:08,R_29iQY5NiSFKawq7,,,,,28.0702056884765625,-81.96410369873046875,anonymous,EN,Full Time Professor,Yes,project,0,0,0,it is hard to measure ...,it is hard to measure ...,Very likely,Yes
2021-11-29 11:48:52,2021-11-29 11:51:12,IP Address,71.44.212.98,100,140,True,2021-11-29 11:51:12,R_UWRA2LGgxniTeCZ,,,,,28.0702056884765625,-81.96410369873046875,anonymous,EN,Full Time Professor,Yes,Complete reading exercises,20,50,30,25,0,Very likely,Self-gain knowledge and skill outside textbooks
2021-11-29 11:48:17,2021-11-29 11:51:23,IP Address,173.169.75.123,100,186,True,2021-11-29 11:51:24,R_11jZH9UcWwTCN4m,,,,,27.9600067138671875,-82.46140289306640625,anonymous,EN,Full Time Professor,Yes,Students are asked to evaluate sources provided to them and their own research and provide analysis.,25,60,15,All of them have the potential; it certainly depends on how much they apply themselves.,"Again, all have the potential, it just depends on how much they apply themselves.",Very likely,Anything we can do to further emphasize critical reading will certainly benefit both areas for our students.
2021-11-29 11:48:46,2021-11-29 11:51:49,IP Address,71.44.212.98,100,182,True,2021-11-29 11:51:49,R_pF2R5Ygmf4Y14Xv,,,,,28.0702056884765625,-81.96410369873046875,anonymous,EN,Full Time Professor,No,,0,40,0,20,10,Very likely,"In terms of course average increasing, GPA of student increase and overall retention grow up."
2021-11-22 11:52:47,2021-11-22 11:53:47,IP Address,107.77.215.84,11,60,False,2021-11-29 11:53:51,R_20NGti4cl0zM1EU,,,,,,,anonymous,EN,,,,,,,,,,
2021-11-29 11:51:54,2021-11-29 11:55:09,IP Address,71.44.212.98,100,195,True,2021-11-29 11:55:09,R_2rOpXCiFDa3Xgf5,,,,,28.0702056884765625,-81.96410369873046875,anonymous,EN,Full Time Professor,No,,25,70,5,50,100,Somewhat likely,Critical reading is very important specially if students want to continue their higher education
2021-11-29 11:53:03,2021-11-29 11:55:12,IP Address,35.139.108.215,100,129,True,2021-11-29 11:55:12,R_eA5OD49SAK2dGbD,,,,,28.0164031982421875,-81.9553985595703125,anonymous,EN,Full Time Professor,Yes,projects,25,50,25,50,50,Very unlikely,very much
2021-11-29 11:52:29,2021-11-29 11:56:21,IP Address,70.127.160.85,100,231,True,2021-11-29 11:56:21,R_1IH2SbzBOmhCcaw,,,,,27.9611053466796875,-81.93979644775390625,anonymous,EN,Part Time Professor,Yes,"In class discussion, final project",20,60,20,80,100,Very unlikely,"Critical reading is a critical component of STEM employment (and continued education, of course). It is widely acknowledged in IT that our job is critical reading, as new developments evolve so rapidly. I look for critical reading skills above tech skills."
2021-11-29 11:48:29,2021-11-29 11:56:53,IP Address,71.44.212.98,100,504,True,2021-11-29 11:56:54,R_2pPsZlDP3qk4Dhr,,,,,28.0702056884765625,-81.96410369873046875,anonymous,EN,Full Time Professor,Yes,"by answering pre class quiz, depending on how deeply they read before the class.   ",40,35,25,25%,30%,Very likely,"Critical reading, open minds and vocab so, they will be professional during work interview and mostly will win. "
2021-11-29 11:55:00,2021-11-29 11:58:02,IP Address,71.44.212.99,100,181,True,2021-11-29 11:58:02,R_2qygFfOQcEMj0pI,,,,,28.0702056884765625,-81.96410369873046875,anonymous,EN,Full Time Professor,Yes,Contemporay issues relating to the course topics,80,20,0,90,80,Very likely,For life long learning
2021-11-22 11:43:04,2021-11-22 12:09:22,IP Address,71.44.212.98,44,1577,False,2021-11-29 12:09:24,R_3JemTSV28CpJHk1,,,,,,,anonymous,EN,Full Time Professor,Yes,"analysis and execution of a concept ",,,,,,,
2021-11-22 12:08:34,2021-11-22 12:09:51,IP Address,71.44.212.98,44,77,False,2021-11-29 12:09:56,R_1QaBQKb579x9a7y,,,,,,,anonymous,EN,Full Time Professor,Yes,"Review of previous studies, case studies, information weaved into lectures",,,,,,,
2021-11-29 12:30:17,2021-11-29 12:31:36,IP Address,71.44.212.98,100,79,True,2021-11-29 12:31:36,R_3fV1SFGcMNStW9Z,,,,,28.0702056884765625,-81.96410369873046875,anonymous,EN,Full Time Professor,No,,0,1,0,5,5,Neither likely nor unlikely,very much
2021-11-22 12:33:58,2021-11-22 12:34:45,IP Address,174.211.174.43,44,47,False,2021-11-29 12:34:47,R_1LeaGXajRP9jNsW,,,,,,,anonymous,EN,Full Time Professor,Yes,Before class,,,,,,,
2021-11-29 12:35:30,2021-11-29 12:37:40,IP Address,69.213.235.29,100,130,True,2021-11-29 12:37:41,R_5hTJ3we5KuamdBn,,,,,28.529998779296875,-81.4806976318359375,anonymous,EN,Part Time Professor,No,,5,60,35,40,10,Very likely,Positive impact
2021-11-29 12:43:29,2021-11-29 12:48:21,IP Address,71.44.212.98,100,291,True,2021-11-29 12:48:21,R_3G2hz2SU3BE8YNO,,,,,28.0702056884765625,-81.96410369873046875,anonymous,EN,Full Time Professor,Yes,"Analyze the information provided and take decisions based on them. It’s not very straightforward. ",15,60,25,75,50,Very likely,Any kind of post graduate research needs critical reading and thinking. Most tech jobs also need the employees to analyze the information and not take them at face value.
2021-11-22 12:53:55,2021-11-22 12:54:37,Spam,71.44.212.98,44,42,False,2021-11-29 12:54:38,R_b49ZlpIH77K8BEJ,,,,,,,anonymous,EN,Full Time Professor,No,,,,,,,,
2021-11-29 13:04:07,2021-11-29 13:07:56,IP Address,71.44.212.98,100,228,True,2021-11-29 13:07:56,R_24iu0FciLltdHwy,,,,,28.0702056884765625,-81.96410369873046875,anonymous,EN,Full Time Professor,Yes,Reading and discussion of primary and secondary texts; assignments based on secondary academic research,25,50,25,100,50,Very likely,It is directly related to skills valued by employers (as demonstrated by surveys)
2021-11-22 13:20:40,2021-11-22 13:21:11,Spam,71.44.212.98,44,30,False,2021-11-29 13:21:15,R_1guN5NsjubcIyuF,,,,,,,anonymous,EN,Full Time Professor,No,,,,,,,,
2021-11-29 13:27:34,2021-11-29 13:35:54,IP Address,71.44.212.98,100,500,True,2021-11-29 13:35:55,R_3LYIT5jCIqzUljG,,,,,28.0702056884765625,-81.96410369873046875,anonymous,EN,Full Time Professor,Yes,"On paper writing ",50,40,10,60,40,Very likely,"this will help to convert content into the knowledge "
2021-11-29 13:57:29,2021-11-29 14:01:36,IP Address,71.44.212.98,100,247,True,2021-11-29 14:01:36,R_2dovSXd07HXru8j,,,,,28.0702056884765625,-81.96410369873046875,anonymous,EN,Full Time Professor,No,,0,15,85,25,50,Somewhat likely,Will solidify their foundational knowledge and prepare them to understand advance topics and opportunities to contribute
2021-11-22 14:14:24,2021-11-22 14:15:42,IP Address,71.44.212.98,11,78,False,2021-11-29 14:15:45,R_1GBoxV3LchcYVTk,,,,,,,anonymous,EN,,,,,,,,,,
2021-11-29 14:15:12,2021-11-29 14:16:54,IP Address,173.171.114.199,100,101,True,2021-11-29 14:16:55,R_1M4Ck4q5F01yDa4,,,,,28.2534027099609375,-81.64209747314453125,anonymous,EN,Part Time Professor,No,,50,50,0,60,25,Very likely,Great idea
2021-11-29 14:15:02,2021-11-29 14:19:06,IP Address,75.76.118.59,100,244,True,2021-11-29 14:19:07,R_1QudKJFYNRx57av,,,,,27.7870025634765625,-82.6761016845703125,anonymous,EN,Full Time Professor,Yes,"Reading research papers (graduate students), chapters of textbook (undergraduate)",35,60,5,60,5,Very likely,"strongly "
2021-11-22 14:29:39,2021-11-22 14:30:29,Spam,71.44.212.98,11,49,False,2021-11-29 14:30:32,R_1dt0OdQUnqT7EYl,,,,,,,anonymous,EN,,,,,,,,,,
2021-11-29 14:29:30,2021-11-29 14:31:32,IP Address,71.44.212.98,100,121,True,2021-11-29 14:31:32,R_e3hBtiM2QDjkYAp,,,,,28.0702056884765625,-81.96410369873046875,anonymous,EN,Full Time Professor,No,,5,30,65,if what?,if what?,Somewhat likely,sure
2021-11-29 15:09:19,2021-11-29 15:11:39,IP Address,68.200.137.31,100,139,True,2021-11-29 15:11:39,R_25vaAQiHfOzAZYT,,,,,28.1490020751953125,-82.04109954833984375,anonymous,EN,Part Time Professor,Yes,students write analytical responses each week to visual assignments,0,90,0,90,10,Neither likely nor unlikely,I think they already do this in their course work
2021-11-29 15:11:58,2021-11-29 15:13:43,IP Address,204.122.237.61,100,104,True,2021-11-29 15:13:43,R_1QawOUIaxIt5bnW,,,,,27.9980926513671875,-81.7779998779296875,anonymous,EN,Part Time Professor,Yes,Read a passage and infer what should happen if we use a particular coding technique.,10,80,10,80,10,Neither likely nor unlikely,It depends on the individual student.
2021-11-22 19:47:02,2021-11-22 19:48:04,IP Address,65.35.110.72,44,62,False,2021-11-29 19:48:07,R_3M4fdnvj3P2Syfw,,,,,,,anonymous,EN,Full Time Professor,Yes,Assignments and Projects,,,,,,,
2021-11-30 07:22:22,2021-11-30 07:34:12,IP Address,71.40.176.167,100,709,True,2021-11-30 07:34:12,R_2pQANQ9xiG9goo5,,,,,28.0702056884765625,-81.96410369873046875,anonymous,EN,Part Time Professor,Yes,"In terms of laboratory courses, the laboratory introduction, procedure , and short lab report questions all engage students to think critically about what they will be doing, what its context is within the lab framework and relation to lecture, as well as what the outcomes of their experimental work is and means.",10,50,40,25,10,Very likely,"It is a critical skill that would affect students throughout their lives both academically and professionally.  Many of our first year students have issues with reading comprehension from my experience and that is something we should investigate with intro reading comprehension assessments for all entering Florida Polytechnic students including transfer students.  "
2021-11-23 10:02:10,2021-11-23 10:03:34,IP Address,71.44.212.98,44,84,False,2021-11-30 09:38:23,R_2YrEJBnI2WfYdrN,,,,,,,anonymous,EN,Full Time Professor,Yes,"discussions, homework, and final projects ",,,,,,,
2021-11-24 11:37:03,2021-11-24 11:37:31,IP Address,47.195.25.44,44,28,False,2021-11-30 09:38:25,R_2thak6HhSHKmFk4,,,,,,,anonymous,EN,Full Time Professor,No,,,,,,,,
2021-11-29 11:49:09,2021-11-29 11:49:29,IP Address,71.44.212.98,44,20,False,2021-11-30 09:38:26,R_rkEpbmwFjWCCPeh,,,,,,,anonymous,EN,Full Time Professor,No,,,,,,,,
2021-11-29 11:49:29,2021-11-29 11:55:04,IP Address,71.44.212.98,44,335,False,2021-11-30 09:38:26,R_2ROZSM3PqVQIOWv,,,,,,,anonymous,EN,Full Time Professor,Yes,in Labs,,,,,,,
2021-11-27 22:52:57,2021-11-27 22:53:35,IP Address,104.218.71.63,11,37,False,2021-11-30 09:38:26,R_2YYfcriOM29jcZu,,,,,,,anonymous,EN,,,,,,,,,,
2021-11-29 13:25:52,2021-11-29 13:27:34,IP Address,173.170.114.88,44,101,False,2021-11-30 09:38:27,R_1MMLImO7R9fWT1H,,,,,,,anonymous,EN,Full Time Professor,No,,,,,,,,
2021-11-29 13:07:57,2021-11-29 13:09:33,IP Address,71.44.212.98,44,96,False,2021-11-30 09:38:28,R_3KZ29kwuZTqAqCC,,,,,,,anonymous,EN,Full Time Professor,Yes,Projects and In-Class Activities,,,,,,,
2021-11-29 11:48:34,2021-11-29 11:49:12,IP Address,71.44.212.98,11,37,False,2021-11-30 09:38:28,R_ugFOtr3M5RSF6Yp,,,,,,,anonymous,EN,,,,,,,,,,
2021-11-29 14:10:27,2021-11-29 14:11:53,IP Address,71.44.212.98,44,85,False,2021-11-30 09:38:28,R_3lY5YFgcUgmhfHk,,,,,,,anonymous,EN,Part Time Professor,No,,,,,,,,
2021-11-29 14:32:33,2021-11-29 14:39:25,IP Address,107.77.215.122,44,412,False,2021-11-30 09:38:28,R_zcG4rlPhiu3owy5,,,,,,,anonymous,EN,Full Time Professor,No,,,,,,,,
2021-11-29 16:19:37,2021-11-29 16:20:35,IP Address,47.205.134.180,44,57,False,2021-11-30 09:38:29,R_3HtqATni3cPfSVl,,,,,,,anonymous,EN,Part Time Professor,No,,,,,,,,
2021-11-29 11:48:39,2021-11-29 11:49:30,Spam,71.44.212.98,11,50,False,2021-11-30 09:38:29,R_2bK1dwW1qs7ZNdb,,,,,,,anonymous,EN,Full Time Professor,No,,,,,,,,
2021-11-29 11:48:35,2021-11-30 10:41:25,IP Address,65.35.8.113,100,82369,True,2021-11-30 10:41:26,R_3P76WZE919VR28y,,,,,28.0164031982421875,-81.9553985595703125,anonymous,EN,Full Time Professor,Yes,We read articles together and discuss as a class.,0,85,0,70,10,Somewhat likely,"Reading is a very valuable skill set that would benefit students in their future endeavors. "
2021-12-01 17:37:19,2021-12-01 17:38:10,Survey Preview,,100,50,True,2021-12-01 17:38:10,R_Zy67yrb3qFDgzS1,,,,,40.3968963623046875,-111.791900634765625,preview,EN,Full Time Professor,Yes,,0,0,0,test,test,Somewhat unlikely,
